# English-German dictionary created from English Wiktionary
# Created on: 2010-10-07T23:21:21+02:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
-ible	-bar
factorial	Fakultät
factory	Fabrik
faeces	Fäkalien
faggot	Schwuchtel
failure	Misserfolg
fair	schön
fairy	Fee
fairy tale	Märchen
faith	Glaube
falcon	Falke
fall	fallen
fall	Fall
fall in love	sich
fallow deer	Damhirsch
false	falsch
famine	Hungersnot
fan	Ventilator
fan	Fächer
fan	Fan
far	fern
fare	Fahrpreis
farm	Bauernhof
farmer	Bauer
fart	furzen
fart	Furz
fascism	Faschismus
fast	schnell
fast	fasten
fast	Fasten
fast	Fastenzeit
fast food	Schnellgericht
fat	dick
fat	Fett
fate	Schicksal
father	Vater
father-in-law	Schwiegervater
fatherland	Vaterland
fathom	Klafter
faucet	Zapfen
fault	Fehler
favor	Gefallen
fawn	Rehkitz
fax	Fax
façade	Fassade
fear	fürchten
fear	Angst
fear	Gottesfurcht
feasible	durchführbar
feat	Leistung
feather	Feder
feature	Eigenschaft
feceate	ausleeren
feces	Fäkalien
fee	Gebühr
feed	füttern
feeling	Gefühl
feeling	Gefühle
fellatio	Fellatio
female	weiblich
female	Weibchen
feminism	Feminismus
fence	Zaun
fencing	Fechten
fennel	Fenchel
fermata	Fermate
ferret	Frettchen
ferry	Fähre
festival	Festival
fetus	Fötus
fever	Fieber
few	wenig
fewer	weniger
fiancé	Verlobter
fiasco	Fiasko
field	Feld
field	Körper
fifteen	fünfzehn
fifteenth	fünfzehnte
fifth	fünfte
fifty	fünfzig
fifty-eight	achtundfünfzig
fifty-five	fünfundfünfzig
fifty-four	vierundfünfzig
fifty-nine	neunundfünfzig
fifty-one	einundfünfzig
fifty-seven	siebenundfünfzig
fifty-six	sechsundfünfzig
fifty-three	dreiundfünfzig
fifty-two	zweiundfünfzig
fig	Feige
fig	Feigenbaum
fight	kämpfen
fight	Kampf
fight	bekämpfen
figure	Ziffer
figure	Abbildung
figure	Form
figure	Gestalt
figure skating	Eiskunstlauf
file	Datei
file	Feile
file	Kartei
file	feilen
file	Reihe
fill	füllen
finally	schließlich
finch	Fink
find	finden
fine	Bußgeld
finger	Finger
fingerprint	Fingerabdruck
finish	beenden
finish	Ende
fir	Tanne
fire	Feuer
fire	Ofen
fire	feuern
fire	abfeuern
fire	brennen
firearm	Schusswaffe
firefighter	Feuerwehrmann
firefly	Glühwürmchen
fireman	Feuerwehrmann
fireplace	Kamin
firework	Feuerwerk
first	erste
first	Erste
first name	Vorname
fish	Fisch
fish	fischen
fisher	Fischer
fishing	Fischen
fishing rod	Angelrute
fist	Faust
fit	passen
five	fünf
five hundred	fünfhundert
flag	Flagge
flame	Flamme
flamethrower	Flammenwerfer
flamingo	Flamingo
flat	flach
flax	Flachs
flea	Floh
flesh	Fleisch
flex	spielen lassen
flight	Flug
flock	Schwarm
flood	Flut
floor	Boden
floor	Etage
floppy	schlaff
flounder	Scholle
flour	Mehl
flow	Fluss
flow	fließen
flow	Flut
flower	Blume
flower	blühen
flowerpot	Blumentopf
flu	Grippe
fluent	fließend
fluorine	Fluor
flute	Flöte
fly	Fliege
fly	fliegen
fly	Hosenschlitz
flying saucer	fliegende Untertasse
foal	Fohlen
foam	Schaum
fodder	Futter
foe	Feind
foetus	Fötus
fog	Nebel
fold	falten
folder	Ordner
follow	folgen
font	Schriftart
food	Nahrung
fool	Tor
fool	Narr
foosball	Tischfußball
foot	Fuß
foot	Pfote
foot	bezahlen
football	Fußball
football	American Football
for	denn
for	für
for	zu
for example	zum Beispiel
forbid	verbieten
force	Kraft
force	Gewalt
ford	Furt
forecast	vorhersagen
forefinger	Zeigefinger
forehead	Stirn
foreign	ausländisch
foreign	fremd
foreigner	Ausländer
foresee	vorhersehen
forest	Wald
forget-me-not	Vergissmeinnicht
forgive	vergeben
fork	Gabel
fork	Gabelung
formaldehyde	Formaldehyd
former	ehemalig
formula	Formel
forsake	aufgeben
fortnight	vierzehn Tage
fortress	Festung
forty	vierzig
forty-eight	achtundvierzig
forty-five	fünfundvierzig
forty-four	vierundvierzig
forty-nine	neunundvierzig
forty-one	einundvierzig
forty-seven	siebenundvierzig
forty-six	sechsundvierzig
forty-three	dreiundvierzig
forty-two	zweiundvierzig
forward	vorder
forward	nachsenden
forward	nach vorne
fountain	Brunnen
four	vier
four-stroke engine	Viertaktmotor
fourteen	vierzehn
fourteenth	vierzehnte
fourth	vierte
fox	Fuchs
frame	Rahmen
francium	Francium
freckle	Sommersprosse
free	frei
free	umsonst
free	befreien
freedom	Freiheit
freedom of speech	freie Meinungsäußerung
freeze	gefrieren
freeze	einfrieren
freeze	erstarren
french fries	Pommes frites
french kiss	Zungenkuss
frequency	Frequenz
frequency	Häufigkeit
frequent	häufig
fresh	frisch
friend	Freund
friends	Freunde
friendship	Freundschaft
frog	Frosch
from	von
from scratch	von Grund auf
froth	Schaum
fruit	Frucht
fruit	Schwuler
fry	braten
fuck	ficken
fuck	penetrieren
fuck	Fick
fuck	Scheiße
fuel	Brennstoff
fulcrum	Angelpunkt
full	voll
full moon	Vollmond
function	Funktion
function	funktionieren
functionality	Funktionalität
fundamentalism	Fundamentalismus
funeral	Beerdigung
funeral	Beisetzung
fungus	Pilz
funnel	Trichter
funny	komisch
furrow	Furche
future	Zukunft
future	zukünftig
future	Futur
galaxy	Galaxie
galaxy	Milchstraße
gallium	Gallium
gallows	Galgen
game	Spiel
garbage	Abfall
garden	Garten
garlic	Knoblauch
garment	Gewand
gas	Gas
gas	Benzin
gas chamber	Gaskammer
gas station	Tankstelle
gasoline	Benzin
gaucho	Gaucho
gay	homosexuell
gay	fröhlich
gay	Homosexueller
gay	bunt
gazelle	Gazelle
gender	Geschlecht
gene	Gen
genetic	genetisch
genie	Dschin
genitive	Genitiv
genitive	genitivisch
genitive case	Genitiv
genius	Genie
genocide	Völkermord
genome	Genom
genre	Genre
gentleman	Herr
genuflect	niederknien
geography	Geographie
geology	Geologie
geometry	Geometrie
germanium	Germanium
gerund	Gerundium
get	bekommen
get	besorgen
get	kapieren
get lost	hau ab
ghost	Gespenst
giant	Riese
gift	Geschenk
gift	Begabung
ginger	Ingwer
giraffe	Giraffe
girl	Mädchen
girlfriend	Freundin
give	geben
give a blowjob	blasen
give me	geben Sie mir
given name	Vorname
glacier	Gletscher
glad	froh
gland	Drüse
glasnost	Glasnost
glass	Glas
glass harmonica	Glasharmonika
glaucoma	Glaukom
global warming	globale Erwärmung
globalisation	Globalisierung
glockenspiel	Glockenspiel
glove	Handschuh
glue	Klebstoff
gnat	Stechmücke
gnaw	nagen
gneiss	Gneis
gnu	Gnu
go	gehen
go	verschwinden
go	Go
goal	Tor
goal	Ziel
goalkeeper	Torwart
goat	Ziege
goatee	Spitzbart
goblin	Kobold
god	Gott
goddess	Göttin
gold	Gold
gold	golden
golden eagle	Steinadler
goldfish	Goldfisch
goldsmith	Goldschmied
golf	Golf
gong	Klingel
good	das Gute
good	gut
good afternoon	guten
good day	guten Tag
good evening	guten Abend
good luck	viel Glück
good morning	guten Morgen
good night	gute Nacht
goodbye	auf Wiedersehen
goods	Güter
google	googeln
goose	Gans
gooseberry	Stachelbeere
gorilla	Gorilla
goshawk	Habicht
gospel	Evangelium
gossip	Klatsch
government	Regierung
grain	Korn
gram	Gramm
grammar	Grammatik
grand unification theory	große vereinheitlichte Theorie
grandchild	Enkelkind
granddaughter	Enkelin
grandfather	väterlich
grandfather	mütterlich
grandmother	Großmutter
grandparent	Großeltern
grandson	Enkel
grape	Weintraube
grapefruit	Pampelmuse
graph	Graph
graph theory	Graphentheorie
graphical user interface	grafische Benutzeroberfläche
grass	Gras
grass	Rasen
grasshopper	Heuschrecke
gratis	gratis
gratitude	Dankbarkeit
grave	Grab
graveyard	Kirchhof
gravitation	Schwerkraft
gravity	Schwerkraft
gravy	Soße
grease	Fett
great	groß
great northern diver	Eistaucher
great spotted woodpecker	Buntspecht
great tit	Kohlmeise
great-grandfather	Urgroßvater
greed	Gier
greedy	gierig
green	grün
green	Grün
green	grünschnäblig
green woodpecker	Grünspecht
greenhouse	Gewächshaus
greenhouse effect	Treibhauseffekt
grey	grau
grey heron	Graureiher
greylag goose	Graugans
griffin	Greif
griffon vulture	Gänsegeier
grind	mahlen
groom	Bräutigam
gross domestic product	Bruttoinlandsprodukt
group	Gruppe
guarantee	Garantie
guarantee	garantieren
guard	schützen
guard	Wächter
guess	Vermutung
guess	schätzen
guest	Gast
guide book	Reiseführer
guilt	Schuld
guinea fowl	Perlhuhn
guinea pig	Meerschweinchen
guitar	Gitarre
guitarist	Gitarrenspieler
gules	rot
gull	Möwe
gullet	Speiseröhre
gum	Zahnfleisch
guts	Eingeweide
gypsy	Zigeuner
habit	Gewohnheit
haddock	Schellfisch
hadron	Hadron
haemorrhage	Blutung
hafnium	Hafnium
hail	Hagel
hail	hageln
hair	Haar
hair	(7)de
haircut	Haarschnitt
hairy	behaart
hajj	Haddsch
half	Hälfte
half brother	Halbbruder
half-life	Halbwertszeit
hallelujah	Halleluja
halo	Heiligenschein
halva	Halva
ham	Schinken
hamburger	Hamburger
hammer	Hammer
hammock	Hängematte
hamster	Hamster
hand	Hand
hand	Zeiger
hand	reichen
hand	Handlanger
handball	Handball
handcuffs	Handschellen
handkerchief	Taschentuch
handsome	hübsch
hangover	Katzenjammer
happen	geschehen
happiness	Fröhlichkeit
happy	glücklich
happy	mit
happy birthday	alles Gute zum Geburtstag
harbor	Hafen
harbour	Hafen
hard	hart
hard	schwierig
hardly	kaum
hardware	Hardware
hare	Hase
harem	Harem
harp	Harfe
harpoon	Harpune
harpsichord	Spinett
harrow	Egge
harsh	(1)rauh
harvestman	Afterspinne
hassium	Hassium
hat	Hut
hate	hassen
hatred	Haß
have	haben
hawk	Habicht
hawthorn	Hagedorn
hay	Heu
hay fever	Heuschnupfen
hazel	Haselnuss
hazelnut	Haselnuss
he	er
head	Kopf
head	Oberhaupt
head	führen
head	ansteuern
health	Gesundheit
heap	Haufen
hear	hören
heart	Herz
heart	Kern
heart	Herzchen
heart attack	Myokardinfarkt
heat	Wärmeenergie
heat	Hitze
heather	Besenheide
heaven	Himmel
heavy	schwer
heavy water	schweres Wasser
hedgehog	Igel
hedonism	Hedonismus
heel	Ferse
height	Höhe
helicopter	Helikopter
helium	Helium
hell	Hölle
hello	hallo
helmet	Helm
help	Hilfe
help	helfen
hemisphere	Halbkugel
hemisphere	Hemisphäre
hemorrhage	Blutung
hemp	Hanf
hen	Henne
hence	daher
henceforth	künftig
her	ihr
her	sie
herbivore	Pflanzenfresser
here	hier
here	hierher
heretic	Ketzer
hermaphrodite	Hermaphrodit
hernia	Bruch
hero	Held
heroin	Heroin
heroine	Heldin
heron	Reiher
herring	Hering
herself	sie selbst
heterogeneous	heterogen
heterosexuality	Heterosexualität
heuristic	Heuristik
hexagon	Sechseck
hi	hallo
hiccup	Schluckauf
hide	verbergen
hide	sich verbergen
hide and seek	Versteckspiel
high	hoch
high	berauscht
highway	Autobahn
hill	Hügel
him	ihm
himself	er selbst
hinder	hindern
hinder	erschweren
hinder	hinter
hinny	Maulesel
hip	Hüfte
hippopotamus	Flusspferd
his	sein
his	der seine
history	Geschichte
history	Geschichtswissenschaft
history	Verlauf
hitchhike	trampen
hither	hierher
hitherto	bis dahin
hobbit	Hobbit
hobby	Hobby
hockey	Hockey
hoe	Hacke
holiday	Feiertag
holiday	Urlaub
holly	Stechpalme
holmium	Holmium
home	Heim
home	Heimat
homeland	Heimat
homeopathy	Homöopathie
homeostasis	Selbstregulation
homework	Hausaufgaben
homogeneous	homogen
homosexual	Homosexueller
homosexual	homosexuell
homosexuality	Homosexualität
honest	ehrlich
honesty	Ehrlichkeit
honey	Honig
honey	Schatz
honey bee	Honigbiene
honeybee	Honigbiene
honor	Ehre
honour	Ehre
hoof	Huf
hook	Haken
hook	haken
hope	hoffen
hope	Hoffnung
horizon	Horizont
hormone	Hormon
horn	Horn
horn	Hupe
horn	Waldhorn
hornet	Hornisse
horny	geil
horse	Pferd
horseradish	Meerrettich
horseshoe	Hufeisen
hospital	Krankenhaus
hostility	Feindseligkeit
hot	heiß
hot	scharf
hotel	Hotel
hound	Jagdhund
hour	Stunde
hourglass	Sanduhr
house	Haus
house arrest	Hausanhalten
house mouse	Hausmaus
house music	House
housewife	Hausfrau
how	wie
how are you	Wie geht es dir
how much	wie viel
how much is it	wie viel kostet es
however	jedoch
hug	umarmen
hug	Umarmung
huge	sehr groß
human	Mensch
human	menschlich
human being	Mensch
human rights	Menschenrechte
humility	Bescheidenheit
hummingbird	Kolibri
humor	Humor
humour	Humor
hump	Buckel
hundred	hundert
hunger	Hunger
hungry	hungrig
hunt	Jagd
hunt	jagen
hunter	Jäger
hurricane	Hurrikan
hurry	eilen
hurt	weh tun
hurt	verletzen
husband	Ehemann
hussar	Husar
hut	Hütte
hydrochloric acid	Salzsäure
hydrogen	Wasserstoff
hyena	Hyäne
hymen	Hymen
hyperbola	Hyperbel
hypertension	Bluthochdruck
hyphen	Bindestrich
hypocrisy	Heuchelei
hyponym	Unterbegriff
hypotenuse	Hypotenuse
i.e.	d. h.
ibex	Steinbock
ice	Eis
ice cream	Eis
ice cream	Eistüte
ice hockey	Eishockey
iceberg	Eisberg
ichthyology	Ichthyologie
icicle	Eiszapfen
iconostasis	Ikonostase
idea	Idee
ideal	Ideal
ideal gas	ideales Gas
identity	Identität
idiom	Idiom
idiot	Idiot
idle	müßig
if	falls
if only	wenn doch nur
illness	Krankheit
ilmenite	Ilmenit
image	Bild
imaginary number	imaginäre Zahl
immediate	sofortig
immediately	sofort
immortal	unsterblich
immortality	Unsterblichkeit
imperative	Imperativ
imperialism	Imperialismus
important	wichtig
impossible	unmöglich
imprison	einsperren
improve	verbessern
in	in
in person	in Person
in the flesh	aus Fleisch und Blut
in vain	vergebens
incarcerate	einsperren
incest	Blutschande
inch	Zoll
include	einfügen
income	Einkommen
income tax	Einkommensteuer
indeed	allerdings
indefinite article	unbestimmter Artikel
independence	Unabhängigkeit
independent	unabhängig
index	Index
indium	Indium
inevitable	unvermeidlich
inexpensive	billig
infarct	Infarkt
infertility	Unfruchtbarkeit
infidel	Ungläubige
inflation	Inflation
inflation	Aufblasen
influenza	Grippe
information	Information
ingot	Barren
inherit	übernehmen
injury	Verletzung
ink	Tinte
innocent	unschuldig
innovation	Innovation
insanity	Wahnsinn
insect	Insekt
inside out	umgekrempelt
inside out	in- und auswendig
insignificant	bedeutungslos
instrument	Instrument
instrument	Werkzeug
instrumental	Instrumental-Kasus
instrumental case	Instrumental-Kasus
insurgent	Aufständischer
integer	ganze Zahl
intelligence	Intelligenz
intelligence	Geheimdienst
interest	Interesse
interest	Zins
interesting	interessant
interferon	Interferon
internal combustion engine	Verbrennungsmotor
international	international
interpreter	Dolmetscher
intersection	Durchschnitt
intestine	Darm
invasion	Invasion
invention	Erfindung
invisible	unsichtbar
invoice	Rechnung
iodine	Iod
iridium	Iridium
iris	Iris
iron	Eisen
iron	Bügeleisen
iron	bügeln
iron	eisern
irony	Ironie
is	ist
island	Insel
it	es
it's all Greek to me	das kommt mir Spanisch vor
itself	sich selbst
ivory	Elfenbein
ivy	Efeu
jack	Bube
jackal	Schakal
jackdaw	Dohle
jaguar	Jaguar
jam	Marmelade
jar	Glas
jargon	Jargon
jaundice	Gelbsucht
jay	Eichelhäher
jazz	Jazz
jeans	Jeans
jelly	Marmelade
jelly	Gelee
jellyfish	Qualle
jerk off	abspritzen
jetty	Anlegestelle
jewel	Juwel
jihad	Dschihad
job	Arbeit
joint	Gelenk
joke	Witz
joke	Scherz
joke	scherzen
joule	Joule
journalism	Journalismus
journey	Reise
journey	reisen
joy	Freude
joystick	Steuerknüppel
judge	Richter
judge	Schiedsrichter
judge	urteilen
judge	richten
judo	Judo
juice	Saft
jungle	Dschungel
juniper	Wacholder
junk food	ungesund
just	einfach
just	gerade
kangaroo	Känguru
kestrel	Turmfalke
kestrel	Falke
key	Schlüssel
key	Taste
key	Tonart
keyboard	Tastatur
keyboard	Keyboard
kick	treten
kick the bucket	den Löffel abgeben
kidney	Niere
kill	töten
kill two birds with one stone	zwei Fliegen mit einer Klappe schlagen
kilogram	Kilogramm
kilometer	Kilometer
kilometre	Kilometer
kind	freundlich
king	König
kingdom	Königreich
kingdom	Reich
kingfisher	Eisvogel
kinship	Verwandtschaft
kiss	küssen
kiss	Kuß
kiss	sich
kitchen	Küche
kite	Drachen
kite	Milan
kitten	Kätzchen
kitty	Kätzchen
kiwi	Kiwi
kiwi fruit	Kiwi
knee	Knie
kneecap	Kniescheibe
kneel	knien
knife	Messer
knight	Ritter
knight	Springer
knock	klopfen
knot	Knoten
know	wissen
know	kennen
knowledge	Wissen
knuckle	Fingerknöchel
koala	Koala
krypton	Krypton
kryptonite	Kryptonit
kyanite	Kyanit
label	Etikett
labyrinth	Labirint
lac	Lack
lace	Spitze
lacrosse	Lacrosse
ladder	Leiter
ladle	Schöpflöffel
lady	Frau
lady	Dame
ladybird	Marienkäfer
ladybug	Marienkäfer
lahar	Lahar
lake	See
lake	Farbstoff
lama	Lama
lamb	Lamm
land	Land
land	landen
land mine	Landmine
landlocked	binnen-
language	Sprache
lantern	Laterne
lanthanum	Lanthan
laptop	Laptop
larch	Lärche
large	groß
lark	Lerche
larva	Larve
larynx	Kehlkopf
laser	Laser
last night	gestern Abend
late	spät
lathe	Drechselbank
lather	Seifenschaum
lather	einschäumen
lattice	Gitter
laugh	lachen
laughter	Gelächter
lavender	Lavendel
law	Gesetz
law	Recht
lawrencium	Lawrencium
lawyer	Rechtsanwalt
lawyer's wig	Schopftintling
lay	legen
layer	Lage
lazy	faul
lead	Blei
lead	führen
lead/experiment	Blei
lead/experiment	führen
lead/experiment2	Blei
lead/experiment2	führen
leader	Anführer
leaf	Blatt
leap	springen
leap	Sprung
leap year	Schaltjahr
leash	Hundeleine
least weasel	Wiesel
leather	Leder
leave	verlassen
leave	lassen
leech	Blutegel
leek	Porree
left	link
left	Linke
left	übrig
leg	Bein
legal	legal
legal	juristisch
legible	leserlich
lemon	Zitrone
lemon balm	Zitronenmelisse
lemonade	Limonade
lemur	Lemur
lend	leihen
length	Länge
lens	Linse
leopard	Leopard
lesbian	Lesbe
lesser spotted woodpecker	Kleinspecht
lesson	Lehrstunde
let's go	gehen wir
let's go	beeilen
letter	Brief
letter	Buchstabe
lettuce	Salat
leukemia	Leukämie
levitation	Levitation
lexicography	Lexikographie
liar	Lügner
liberty	Freiheit
library	Bibliothek
lichen	Flechte
lick	lecken
lid	Deckel
lie	lügen
lie	liegen
lie	Lüge
lieutenant	Oberleutnant
life	Leben
life	lebenslänglich
lift	Lift
light	Licht
light	anzünden
light	beleuchten
light	leicht
light	hell
light	Lichtquelle
light	Erleuchtung
light	erleuchtet
light bulb	Glühbirne
light year	Lichtjahr
lighter	Feuerzeug
lighthouse	Feuerturm
lightning	Blitz
like	wie
like	mögen
like father, like son	Wie der Vater, so der Sohn
lilac	Flieder
lily	Lilie
lime	Kalk
lime	Linde
lime	Limone
limestone	Kalkstein
limit	Grenze
line	gerade
linear algebra	lineare Algebra
linen	Laken
linguistics	Linguistik
link	Verknüpfung
link	Verbindung
link	Link
lion	Löwe
lioness	Löwin
lip	Lippe
lipstick	Lippenstift
liqueur	Likör
liquid	Flüssigkeit
liquid	flüssig
listen	hören
listen	lauschen
literature	Literatur
lithium	Lithium
little	wenig
little	klein
little finger	kleiner Finger
little owl	Steinkauz
liturgy	Liturgie
live	leben
live	lebend
live	überleben
liver	Leber
liverwort	Lebermoos
livestock	Vieh
living room	Wohnzimmer
lizard	Eidechse
llama	Lama
lobster	Hummer
locative case	Lokativ
lock	Schloss
locust	Heuschrecke
loess	Löß
logarithm	Logarithmus
logic	Logik
loin	Lende
lol	lol, lal
long	lang
long	(sich) sehnen
long-eared owl	Waldohreule
look	Aussehen
lord	Herr
lord	Gebieter
lose	verlieren
lotus	Hornklee
louse	Laus
louse	Dreckskerl
love	Liebe
love	lieben
love	mit &hellip; schlafen
love	null
love triangle	Dreiecksverhältnis
lover	Geliebte
low	niedrig
luck	Glück
luckily	glücklich
lucky	glücklich
lukewarm	lauwarm
lullaby	Schlaflied
lumpsucker	Lump
lunch	Mittagessen
lunch	zu Mittag
lung	Lunge
lutetium	Lutetium
lynx	Luchs
lyre	Leier
lysine	Lysin
mace	Streitkolben
machete	Machete
machine	Maschine
machine gun	Maschinengewehr
machine translation	maschinelle Übersetzung
mackerel	Makrele
macroeconomics	Makroökonomie
mad	wahnsinnig
magazine	Zeitschrift
magazine	Magazin
magenta	magenta
magic wand	Zauberstab
magnesium	Magnesium
magnet	Magnet
magnetic	magnetisch
magnetism	Magnetismus
magpie	Elster
maid	Mädchen
maid	Dienstmädchen
main	hauptsächlich
maize	Mais
majority	Mehrheit
make	Fabrikat
make a mountain out of a molehill	aus einer Mücke einen Elefanten machen
make love	Liebe machen
malaria	Malaria
male	Männchen
mallard	Stockente
mammal	Säugetier
mammoth	Mammut
man	Mann
man	Mensch
man	Stein
management	Verwaltung
mandarin	Mandarin
mandarin orange	Mandarine
mandatory	zwingend notwendig
mane	Mähne
manga	Manga
manganese	Mangan
mango	Mango
mango	Mangobaum
manual	Handbuch
manual	manuell
manure	Mist
many	viele
many thanks	vielen Dank
map	Landkarte
maple	Ahorn
marathon	Marathon
marble	Marmor
march	Marsch
march	marschieren
march	Parade
march	Fortgang
mare	Stute
margrave	Markgraf
marijuana	Marihuana
marionette	Marionette
mark	Zeichen
mark	Mark
market	Markt
marmot	Murmeltier
maroon	Kastanienbraun
marrow	Mark
marry	heiraten
marsh	Moor
marsupial	Beuteltier
marten	Marder
martyr	Märtyrer
masculine	männlich
massacre	Massaker
mast	Mast
mastiff	Dogge
masturbate	masturbieren
masturbation	Masturbation
match	Streichholz
match	Spiel
maternal death	Schwangerschafttod
maternal grandmother	Großmutter mütterlicherseits
mathematician	Mathematiker
mathematics	Mathematik
matrix	Matrix
matter	Materie
matter	wichtig
mattress	Matratze
mature	reif
may	dürfen
maybe	vielleicht
mayonnaise	Majonäse
mayor	Bürgermeister
me	mich
me	mir
me too	ich auch
mead	Met
meadow	Wiese
meal	Mahl
meal	Mehl
mean	bedeuten
mean	Mittel-
mean	Mittel
mean	beabsichtigen
mean	meinen
mean	gemein
mechanic	Mechaniker
mechanics	Mechanik
medal	Medaille
medicine	Arznei
medicine	Medizin
mediocre	mittelmäßig
meditation	Meditation
meet	treffen
meeting	Sitzung
meeting	Treffen
meitnerium	Meitnerium
melancholy	melancholisch
melancholy	Melancholie
melanoma	Melanom
melody	Melodie
melon	Melone
melt	schmelzen
member	Mitglied
member	Glied
memory	Gedächtnis
memory	Erinnerung
memory	Speicher
men	Männer
mendelevium	Mendelevium
menorah	Menora
menstruation	Menstruation
menu	Menü
meow	Miau
meow	miauen
meow	miau
merchant	Kaufmann
mercury	Quecksilber
mermaid	Nixe
message	Nachricht
messenger	Kurier
metal	Metall
metal	metallisch
metallurgy	Metallurgie
metaphor	Metapher
metaphysics	Metaphysik
metastasis	Metastase
meter	Meter
methane	Methan
method	Art und Weise
metre	Meter
metro	Metro
metrosexual	metrosexuell
microwave oven	Mikrowellenherd
midbrain	Mittelhirn
middle finger	Mittelfinger
midnight	Mitternacht
midwife	Hebamme
mild	mild
mile	Meile
milk	Milch
milk	melken
milkmaid	Milchmädchen
mill	Mühle
millennium	Jahrtausend
millet	Hirse
milliard	Milliarde
millimetre	Millimeter
million	Million
millionaire	Millionär
millisecond	Millisekunde
millstone	Mühlstein
minaret	Minarett
mind	Verstand
mine	Grube
mine	Mine
miner	Bergmann
mineralogy	Mineralogie
minion	Günstling
minister	Minister
mint	Münzanstalt
mint	Minze
minuet	Menuett
minus	minus
minute	Minute
minute	Moment
minute	winzig
miracle	Wunder
mirage	Trugbild
misfortune	Unglück
misnomer	falsche Bezeichung
miss	verfehlen
miss	Fräulein
miss	vermissen
missile	Rakete
mist	Nebel
mistake	Fehler
mistake	missverstehen
mister	Herr
mistletoe	Mistel
misunderstand	mißverstehen
mitochondrion	Mitochondrium
mix	mischen
moa	Moa
mobile	beweglich
mobile phone	Handy
model	Modell
modem	Modem
modern	modern
moist	feucht
moisture	Feuchtigkeit
molar	Backenzahn
molasses	Melasse
mole	Maulwurf
mole	Muttermal
molecule	Molekül
mollusc	Weichtier
molybdenum	Molybdän
moment	Augenblick
monarchy	Monarchie
monastery	Kloster
money	Geld
money	Bargeld
mongoose	Manguste
monitor	Monitor
monk	Mönch
monkey	Affe
monopoly	Monopol
monotheism	Monotheismus
monsoon	Monsun
monster	Monster
month	Monat
monthly	monatlich
mood	Gemüt
moon	Mond
moon	Monat
moose	Elch
morality	Moral
moreover	außerdem
morning	Morgen
morpheme	Morphem
mortality	Sterblichkeit
mortar	Mörser
mortar	Mörtel
mortgage	Hypothek
mosque	Moschee
mosquito	Mücke
moss	Moos
most	die meisten
moth	Motte
mother	Mutter
mother tongue	Muttersprache
mother-in-law	Schwiegermutter
motion	Bewegung
motivate	motivieren
motive	Motiv
motor	Motor
motorcycle	Motorrad
mouflon	Mufflon
mould	Schimmel
mountain	Berg
mourn	trauern
mouse	Maus
moustache	Schnurrbart
mouth	Mund
mouth	Mündung
move	bewegen
move	sich bewegen
move	umziehen
movie	Film
mow	mähen
much	viel
mucus	Schleim
mud	Schlamm
mug	Becher
mugwort	Beifuß
mulberry	Maulbeere
mule	Maultier
multilingualism	Mehrsprachigkeit
multiplication	Multiplikation
multiply	multiplizieren
multiverse	Multiversum
mum	Mama
mummy	Mumie
mumps	Mumps
murder	Mord
murder	ermorden
murderer	Mörder
muscle	Muskel
muse	Muse
museum	Museum
mushroom	Pilz
music	Musik
musical	Musical
musician	Musikant
muskrat	Bisamratte
mussel	Muschel
must	müssen
mustache	Schnurrbart
mustard	Senf
mute	stumm
mutual	wechselseitig
my	mein
my name is	ich heiße
myrrh	Myrrhe
myself	ich selbst
mysterious	mysteriös
mystery	Geheimnis
mythology	Mythologie
nail	Nagel
nail	festnageln
naked	nackt
name	Name
name	nennen
name	ernennen
name	benennen
name day	Namenstag
nape	Nacken
napkin	Serviette
narrative	Darstellung
narrow	eng
narwhal	Narwal
nation	Nation
national	national
national anthem	Nationalhymne
nationalism	Nationalismus
nationality	Nationalität
native	einheimisch
natural	natürlich
natural gas	Erdgas
natural language	natürliche Sprache
nature	Natur
naughty	unartig
nausea	Übelkeit
navel	Bauchnabel
navy	Marine
navy	Marineamt
near	nahe
near	nah
nearly	beinahe
neat	nett
nebula	Nebel
necessary	nötig
neck	Hals
necklace	Halskette
necktie	Krawatte
necrophilia	Nekrophilie
need	Notwendigkeit
need	benötigen
needle	Nadel
negative	negativ
neglect	Vernachlässigung
negotiation	Verhandlung
neighborhood	Nachbarschaft
neighbour	Nachbar
neighbourhood	Nachbarschaft
neodymium	Neodym
neon	Neon
nephew	Neffe
neptunium	Neptunium
nerd	Sonderling
nervous	nervös
nest	Nest
net	Netz
nettle	Nessel
neutrino	Neutrino
neutron	Neutron
never	nie
nevertheless	nichtsdestoweniger
new	neu
news	Nachricht
news	Neuigkeiten
newspaper	Zeitung
newspaper	Zeitungspapier
next	nächst
next	neben
nice	freundlich
nickel	Nickel
nickname	Spitzname
niece	Nichte
nigger	Neger
night	Nacht
night	Abend
night	Übernachtung
nightfall	der Einbruch der Nacht
nightingale	Nachtigall
nightmare	Albtraum
nine	neun
nineteen	neunzehn
ninety	neunzig
ninety-eight	achtundneunzig
ninety-five	fünfundneunzig
ninety-four	vierundneunzig
ninety-nine	neunundneunzig
ninety-one	einundneunzig
ninety-seven	siebenundneunzig
ninety-six	sechsundneunzig
